Advanced Reads Samples		
Sample number	Abs	
1	1,36268115	
2	2,49008131	
3	2,438145638	
4	2,237568378	
5	1,391784787	
6	2,10574007	
7	1,707787037	
8	1,614813209	
9	1,227008939	
10	1,190263987	
11	1,036195874	
12	0,9939463735	
13	2,562071085	
14	2,267392159	
15	2,688298225	
16	2,728083849	
17	2,581444263	
18	2,163433552	
19	2,515426636	
20	2,296766996	
21	1,973309517	
22	1,683259845	
23	1,580681086	
24	1,304832935	
25	2,547489166	
26	1,710063457	
27	0,8604554534	
28	1,9823668	
29	1,703199625	
30	1,336481333	
31	1,051766396	
32	1,662045479	
33	1,951235294	
34	2,124339104	
35	1,237122774	
36	2,339677811	
37	2,170912743	
38	2,766953707	
39	1,505491257	
40	2,013898373	
41	2,625509262	
42	2,815541029	
43	1,57450819	
44	2,604604483	
45	1,994195461	
46	2,439718246	
47	1,870811701	
48	2,476793528	
49	1,757620811	
50	2,742085695	
51	1,411446571	
52	1,438813925	
53	1,798439026	
54	2,660181522	
55	1,106318951	
56	0,909250617	
57	1,378570795	
58	2,662540436	
59	1,247076511	
60	1,034239292	
61	2,124497652	
62	2,283330441	
63	2,070985794	
64	1,547812939	
65	1,254436851	
66	2,444214582	
67	0,908092618	
68	0,9654825926	
69	1,746533036	
70	2,566747665	
71	1,309247017	
72	1,343277931	
73	2,72975564	
74	1,985451102	
75	1,185250759	
76	1,079951048	
77	2,332123041	
78	2,175108433	
79	1,056914806	
80	1,168697596	
81	2,714544296	
82	2,112102509	
83	1,251592398	
84	1,077070713	
85	2,310023785	
86	1,569626808	
87	2,070495844	
88	1,806686163	
89	2,364678144	
90	1,483382821	
91	2,085751534	
92	1,580703735	
93	2,821902037	
94	1,011098146	
95	1,83449316	
96	1,907209635	

Advanced Reads Samples
Advanced Reads Samples
Collection Time: 1/1/06 01:40:45
Operator Name  :
Microplate Reader Software Version: 3.20(57)
Parameter List :
Advanced Reads
Report time                       dom 01 jan 01:40:45 AM 2006
Method file                       Default
Batch file
Instrument                        Cary 50
Instrument serial number
Software Version                  3.20(57)
Driver Version                    2.2.54
Operator
Instrument Parameters
Stop Threshold                    OFF
Averaging Time (s)                0,5000
Temperature control
Device                           OFF
Set temperature (°C)
Wellplate
Plate format                     96 wells Costar
X Mode                            Wavelength (nm)
Y Mode                            Abs
Pathlength correction             None
Wavelength (nm)                  590,0
Analysis
Collection time                  1/1/06 01:36:43
Method Log     :
Method Name    : Default
Date/Time stamp: 1/1/06 00:04:23
Method Modifications:
Ave. time (s) Changed: 1/1/06 00:05:07, Old:   0,1000, New:   0,5000
WaveLength Changed: 1/1/06 00:05:07, Old:500,00, New:590,00
Num Samples Changed: 1/1/06 00:05:59, Old:0, New:1
Num Samples Changed: 1/1/06 00:09:53, Old:96, New:1
Num Samples Changed: 1/1/06 00:15:10, Old:96, New:1
Num Samples Changed: 1/1/06 00:19:28, Old:96, New:1
Num Samples Changed: 1/1/06 00:23:40, Old:96, New:1
Num Samples Changed: 1/1/06 00:27:38, Old:96, New:1
Num Samples Changed: 1/1/06 01:32:50, Old:96, New:1
Num Samples Changed: 1/1/06 01:36:43, Old:96, New:1
Num Samples Changed: 1/1/06 01:40:45, Old:96, New:1
End Method Modifications
Sample Readings:
SML-1;; 1,3627
SML-2;; 2,4901
SML-3;; 2,4381
SML-4;; 2,2376
SML-5;; 1,3918
SML-6;; 2,1057
SML-7;; 1,7078
SML-8;; 1,6148
SML-9;; 1,2270
SML-10;; 1,1903
SML-11;; 1,0362
SML-12;; 0,9939
SML-24;; 1,3048
SML-23;; 1,5807
SML-22;; 1,6833
SML-21;; 1,9733
SML-20;; 2,2968
SML-19;; 2,5154
SML-18;; 2,1634
SML-17;; 2,5814
SML-16;; 2,7281
SML-15;; 2,6883
SML-14;; 2,2674
SML-13;; 2,5621
SML-25;; 2,5475
SML-26;; 1,7101
SML-27;; 0,8605
SML-28;; 1,9824
SML-29;; 1,7032
SML-30;; 1,3365
SML-31;; 1,0518
SML-32;; 1,6620
SML-33;; 1,9512
SML-34;; 2,1243
SML-35;; 1,2371
SML-36;; 2,3397
SML-48;; 2,4768
SML-47;; 1,8708
SML-46;; 2,4397
SML-45;; 1,9942
SML-44;; 2,6046
SML-43;; 1,5745
SML-42;; 2,8155
SML-41;; 2,6255
SML-40;; 2,0139
SML-39;; 1,5055
SML-38;; 2,7670
SML-37;; 2,1709
SML-49;; 1,7576
SML-50;; 2,7421
SML-51;; 1,4114
SML-52;; 1,4388
SML-53;; 1,7984
SML-54;; 2,6602
SML-55;; 1,1063
SML-56;; 0,9093
SML-57;; 1,3786
SML-58;; 2,6625
SML-59;; 1,2471
SML-60;; 1,0342
SML-72;; 1,3433
SML-71;; 1,3092
SML-70;; 2,5667
SML-69;; 1,7465
SML-68;; 0,9655
SML-67;; 0,9081
SML-66;; 2,4442
SML-65;; 1,2544
SML-64;; 1,5478
SML-63;; 2,0710
SML-62;; 2,2833
SML-61;; 2,1245
SML-73;; 2,7298
SML-74;; 1,9855
SML-75;; 1,1853
SML-76;; 1,0800
SML-77;; 2,3321
SML-78;; 2,1751
SML-79;; 1,0569
SML-80;; 1,1687
SML-81;; 2,7145
SML-82;; 2,1121
SML-83;; 1,2516
SML-84;; 1,0771
SML-96;; 1,9072
SML-95;; 1,8345
SML-94;; 1,0111
SML-93;; 2,8219
SML-92;; 1,5807
SML-91;; 2,0858
SML-90;; 1,4834
SML-89;; 2,3647
SML-88;; 1,8067
SML-87;; 2,0705
SML-86;; 1,5696
SML-85;; 2,3100
Sample Readings end:

