Advanced Reads Samples		
Sample number	Abs	
1	1,307957411	
2	2,481521606	
3	2,336414814	
4	1,96756196	
5	1,327409506	
6	2,235219955	
7	1,844656467	
8	1,670002699	
9	1,255518436	
10	1,286828279	
11	1,108867407	
12	1,05952096	
13	2,346565008	
14	1,313867807	
15	2,626372337	
16	2,608419418	
17	2,479980946	
18	1,545428991	
19	2,518203735	
20	2,303167343	
21	2,006499052	
22	1,549156189	
23	1,653538227	
24	1,400081396	
25	2,283933163	
26	1,363557458	
27	0,8368520141	
28	1,596458554	
29	1,50334084	
30	1,249619722	
31	0,8919784427	
32	1,400301814	
33	1,82651186	
34	1,909956932	
35	1,187072515	
36	2,34173727	
37	1,891274929	
38	2,495201588	
39	1,407084107	
40	1,783907413	
41	2,239848614	
42	2,567545891	
43	1,45828104	
44	2,284654856	
45	1,748655558	
46	2,12659812	
47	1,572067618	
48	2,18114996	
49	1,399159431	
50	2,676636696	
51	1,554693699	
52	1,210535526	
53	1,539466023	
54	2,595429897	
55	1,165718198	
56	0,8640316129	
57	1,043476582	
58	2,572859764	
59	1,237182021	
60	1,04737854	
61	1,677415609	
62	2,493133068	
63	1,81834662	
64	1,369033694	
65	1,061163902	
66	2,745010376	
67	0,9316550493	
68	0,8559476137	
69	1,362133741	
70	1,981100321	
71	1,225066662	
72	1,026436567	
73	2,76527977	
74	2,099027634	
75	1,114754677	
76	0,9878069758	
77	2,569080114	
78	2,207999945	
79	0,902027607	
80	1,15761292	
81	2,545494795	
82	1,853896141	
83	1,048698187	
84	1,011263132	
85	2,516722679	
86	1,584163904	
87	1,761409521	
88	1,729894638	
89	2,704379082	
90	1,531716347	
91	1,379710436	
92	1,600937963	
93	2,6927073	
94	1,011043668	
95	1,90200007	
96	1,834430695	

Advanced Reads Samples
Advanced Reads Samples
Collection Time: 2/1/06 08:51:27
Operator Name  :
Microplate Reader Software Version: 3.20(57)
Parameter List :
Advanced Reads
Report time                       seg 02 jan 08:51:26 AM 2006
Method file                       Default
Batch file
Instrument                        Cary 50
Instrument serial number
Software Version                  3.20(57)
Driver Version                    2.2.54
Operator
Instrument Parameters
Stop Threshold                    OFF
Averaging Time (s)                0,5000
Temperature control
Device                           OFF
Set temperature (°C)
Wellplate
Plate format                     96 wells Costar
X Mode                            Wavelength (nm)
Y Mode                            Abs
Pathlength correction             None
Wavelength (nm)                  590,0
Analysis
Collection time                  2/1/06 08:46:37
Method Log     :
Method Name    : Default
Date/Time stamp: 2/1/06 06:54:56
Method Modifications:
Ave. time (s) Changed: 2/1/06 07:01:01, Old:   0,1000, New:   0,5000
WaveLength Changed: 2/1/06 07:01:01, Old:500,00, New:590,00
Num Samples Changed: 2/1/06 07:06:21, Old:0, New:1
Num Samples Changed: 2/1/06 07:11:19, Old:96, New:1
Num Samples Changed: 2/1/06 07:16:00, Old:96, New:1
Num Samples Changed: 2/1/06 07:28:46, Old:96, New:1
Num Samples Changed: 2/1/06 07:33:05, Old:96, New:1
Num Samples Changed: 2/1/06 07:37:10, Old:96, New:1
Num Samples Changed: 2/1/06 08:42:39, Old:96, New:1
Num Samples Changed: 2/1/06 08:46:37, Old:96, New:1
Num Samples Changed: 2/1/06 08:51:26, Old:96, New:1
End Method Modifications
Sample Readings:
SML-1;; 1,3080
SML-2;; 2,4815
SML-3;; 2,3364
SML-4;; 1,9676
SML-5;; 1,3274
SML-6;; 2,2352
SML-7;; 1,8447
SML-8;; 1,6700
SML-9;; 1,2555
SML-10;; 1,2868
SML-11;; 1,1089
SML-12;; 1,0595
SML-24;; 1,4001
SML-23;; 1,6535
SML-22;; 1,5492
SML-21;; 2,0065
SML-20;; 2,3032
SML-19;; 2,5182
SML-18;; 1,5454
SML-17;; 2,4800
SML-16;; 2,6084
SML-15;; 2,6264
SML-14;; 1,3139
SML-13;; 2,3466
SML-25;; 2,2839
SML-26;; 1,3636
SML-27;; 0,8369
SML-28;; 1,5965
SML-29;; 1,5033
SML-30;; 1,2496
SML-31;; 0,8920
SML-32;; 1,4003
SML-33;; 1,8265
SML-34;; 1,9100
SML-35;; 1,1871
SML-36;; 2,3417
SML-48;; 2,1811
SML-47;; 1,5721
SML-46;; 2,1266
SML-45;; 1,7487
SML-44;; 2,2847
SML-43;; 1,4583
SML-42;; 2,5675
SML-41;; 2,2398
SML-40;; 1,7839
SML-39;; 1,4071
SML-38;; 2,4952
SML-37;; 1,8913
SML-49;; 1,3992
SML-50;; 2,6766
SML-51;; 1,5547
SML-52;; 1,2105
SML-53;; 1,5395
SML-54;; 2,5954
SML-55;; 1,1657
SML-56;; 0,8640
SML-57;; 1,0435
SML-58;; 2,5729
SML-59;; 1,2372
SML-60;; 1,0474
SML-72;; 1,0264
SML-71;; 1,2251
SML-70;; 1,9811
SML-69;; 1,3621
SML-68;; 0,8559
SML-67;; 0,9317
SML-66;; 2,7450
SML-65;; 1,0612
SML-64;; 1,3690
SML-63;; 1,8183
SML-62;; 2,4931
SML-61;; 1,6774
SML-73;; 2,7653
SML-74;; 2,0990
SML-75;; 1,1148
SML-76;; 0,9878
SML-77;; 2,5691
SML-78;; 2,2080
SML-79;; 0,9020
SML-80;; 1,1576
SML-81;; 2,5455
SML-82;; 1,8539
SML-83;; 1,0487
SML-84;; 1,0113
SML-96;; 1,8344
SML-95;; 1,9020
SML-94;; 1,0110
SML-93;; 2,6927
SML-92;; 1,6009
SML-91;; 1,3797
SML-90;; 1,5317
SML-89;; 2,7044
SML-88;; 1,7299
SML-87;; 1,7614
SML-86;; 1,5842
SML-85;; 2,5167
Sample Readings end:

