Sample,Carbon,Guild,Scenario,Mu,K,Bloco,ABS-120,
3,Β-Methil-D-Glucoside,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,2,"1,064874888",
3,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"1,151115894",
3,L-Arginine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,32822752",
3,L-Asparigine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,568086863",
3,D-Galactoronic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,481618166",
3,D-Xylose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,2,"0,244659424",
3,Pyruvic Acid Methyl Ester,Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,2,"0,0059129",
3,Tween 40,Polymers,Mu0.1K0.5,Mu0.1,k0.5,2,"1,481138945",
3,I-Erythritol,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,2,"0,877517223",
3,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,0,
3,L-Phenylalanine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,046385408",
3,L-Serine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,869545698",
3,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"1,31433177",
3,D-Mannitol,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,2,"0,72708869",
3,Tween 80,Polymers,Mu0.1K0.5,Mu0.1,k0.5,2,"0,99092412",
3,α-Cyclodextrin,Polymers,Mu0.1K0.5,Mu0.1,k0.5,2,"0,805562973",
3,N-Acetyl-D-Glucosamina,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,2,"1,645945788",
3,T-Hydroxybutiric Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,0,
3,L-Threonine,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,2,0,
3,Glycyl-L-Glutamic Acid,Amino Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"1,119303942",
3,Itaconic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,901897192",
3,D-Glucosaminic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,854496718",
3,Glycogen,Polymers,Mu0.1K0.5,Mu0.1,k0.5,2,"0,171039224",
3,D-Cellobiose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,2,"1,332125902",
3,Glucose-1-Phosphate,Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,2,"1,331054688",
3,α-Kentocutyric Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,"0,117106915",
3,Phenylethylamine,Amines/Amides,Mu0.1K0.5,Mu0.1,k0.5,2,0,
3,Putrescina,Amines/Amides,Mu0.1K0.5,Mu0.1,k0.5,2,"1,324614763",
3,D-Malic Acid,Carboxylic Acids,Mu0.1K0.5,Mu0.1,k0.5,2,0,
3,"D,L-α-Glycerolphosphate",Miscellaneous,Mu0.1K0.5,Mu0.1,k0.5,2,"0,466518641",
3,α-D-Lactose,Carbohydates,Mu0.1K0.5,Mu0.1,k0.5,2,"0,292440176",
6,Β-Methil-D-Glucoside,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"0,957962036",
6,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"1,005900145",
6,L-Arginine,Amino Acids,Mu0.1K1,Mu0.1,k1,4,"0,997314453",
6,L-Asparigine,Amino Acids,Mu0.1K1,Mu0.1,k1,4,"0,466345072",
6,D-Galactoronic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"0,341857195",
6,D-Xylose,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"0,125373364",
6,Pyruvic Acid Methyl Ester,Miscellaneous,Mu0.1K1,Mu0.1,k1,4,0,
6,Tween 40,Polymers,Mu0.1K1,Mu0.1,k1,4,"1,479102373",
6,I-Erythritol,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"1,343325853",
6,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,0,
6,L-Phenylalanine,Amino Acids,Mu0.1K1,Mu0.1,k1,4,"1,187239885",
6,L-Serine,Amino Acids,Mu0.1K1,Mu0.1,k1,4,"1,097496986",
6,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"1,292246103",
6,D-Mannitol,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"1,06826663",
6,Tween 80,Polymers,Mu0.1K1,Mu0.1,k1,4,"0,905177355",
6,α-Cyclodextrin,Polymers,Mu0.1K1,Mu0.1,k1,4,"1,336884737",
6,N-Acetyl-D-Glucosamina,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"1,390667677",
6,T-Hydroxybutiric Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"0,047780275",
6,L-Threonine,Amino Acids,Mu0.1K1,Mu0.1,k1,4,"0,280509949",
6,Glycyl-L-Glutamic Acid,Amino Acids,Mu0.1K1,Mu0.1,k1,4,"0,794101715",
6,Itaconic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"0,438174009",
6,D-Glucosaminic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"0,234009981",
6,Glycogen,Polymers,Mu0.1K1,Mu0.1,k1,4,0,
6,D-Cellobiose,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"1,562458277",
6,Glucose-1-Phosphate,Miscellaneous,Mu0.1K1,Mu0.1,k1,4,"1,063070536",
6,α-Kentocutyric Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,"0,264391422",
6,Phenylethylamine,Amines/Amides,Mu0.1K1,Mu0.1,k1,4,"1,007117033",
6,Putrescina,Amines/Amides,Mu0.1K1,Mu0.1,k1,4,"1,52495122",
6,D-Malic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,4,0,
6,"D,L-α-Glycerolphosphate",Miscellaneous,Mu0.1K1,Mu0.1,k1,4,"0,067649126",
6,α-D-Lactose,Carbohydates,Mu0.1K1,Mu0.1,k1,4,"0,209195852",
12,Β-Methil-D-Glucoside,Carbohydates,Mu1K0.5,Mu1,k0.5,2,"0,445473195",
12,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,0,
12,L-Arginine,Amino Acids,Mu1K0.5,Mu1,k0.5,2,"0,031705738",
12,L-Asparigine,Amino Acids,Mu1K0.5,Mu1,k0.5,2,"0,738281727",
