# Constructed from biom file
#OTU ID	T12	S5	S11	T9	S7	S9	T15	T2	T5	S15	T4	S13	T13	T8	S14	S6	T1	T14	T3	S12	S4	S10	T6	T11	T10	T7	S8	N14	S2	S3	T16	N8	N9	S1	taxonomy
0	62705.0	52280.0	77675.0	30583.0	71000.0	65813.0	38334.0	47427.0	18370.0	12937.0	23233.0	26273.0	72663.0	65540.0	42639.0	62699.0	21476.0	42910.0	24622.0	8698.0	22418.0	46045.0	469.0	1045.0	1312.0	809.0	31.0	78.0	11.0	16.0	1.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
1	8413.0	4110.0	18249.0	82180.0	7318.0	26078.0	29968.0	11956.0	7844.0	17036.0	31675.0	4274.0	16725.0	19368.0	21991.0	73046.0	1925.0	90627.0	11183.0	2355.0	38684.0	38893.0	87.0	23.0	36.0	105.0	113674.0	12.0	233.0	121.0	3.0	59.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__
2	34334.0	8172.0	16463.0	9263.0	1008.0	73.0	25502.0	33589.0	57371.0	39675.0	65298.0	114745.0	20710.0	3351.0	28519.0	440.0	105172.0	1834.0	58849.0	28602.0	152.0	8163.0	300.0	445.0	815.0	688.0	4.0	5.0	73.0	56.0	7.0	0.0	2.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
3	3380.0	0.0	61.0	4.0	29629.0	4.0	0.0	4649.0	1394.0	824.0	1571.0	10439.0	1788.0	1863.0	1211.0	28.0	5982.0	974.0	4.0	1146.0	1.0	3.0	258.0	1.0	0.0	50.0	16.0	15.0	54.0	35.0	1.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
4	10418.0	2014.0	4371.0	19646.0	864.0	1162.0	855.0	56.0	2056.0	232.0	7221.0	640.0	1112.0	8105.0	638.0	636.0	105.0	688.0	2895.0	358.0	77.0	29841.0	15.0	1.0	28.0	94.0	17059.0	0.0	342.0	88.0	1.0	0.0	0.0	1.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
5	396.0	999.0	6368.0	55.0	22.0	9.0	44.0	1416.0	377.0	149.0	299.0	7096.0	210.0	22.0	714.0	29.0	23898.0	47.0	7041.0	750.0	9.0	1456.0	21.0	305.0	286.0	44.0	9.0	32.0	52.0	46.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
6	1625.0	479.0	388.0	325.0	562.0	948.0	453.0	8455.0	33354.0	347.0	2365.0	1633.0	174.0	583.0	2211.0	377.0	5074.0	36.0	1531.0	1808.0	19.0	377.0	224.0	89.0	552.0	768.0	2.0	0.0	945.0	1159.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
7	377.0	0.0	9.0	23.0	8.0	45.0	19.0	22.0	9890.0	678.0	17310.0	1537.0	166.0	312.0	531.0	48.0	102.0	32.0	891.0	451.0	0.0	25.0	2.0	2.0	0.0	5.0	4.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Enhydrobacter; s__aerosaccus
8	0.0	46.0	0.0	257.0	3.0	26.0	13.0	4229.0	14.0	1.0	3.0	6.0	2.0	38.0	14.0	28.0	25.0	5.0	242.0	319.0	158.0	1.0	62.0	871.0	1716.0	227.0	0.0	0.0	8490.0	9336.0	0.0	0.0	0.0	4.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__C39; s__
9	165.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	2581.0	56.0	22269.0	1.0	27.0	0.0	564.0	13.0	0.0	1.0	145.0	2.0	0.0	9.0	4.0	0.0	0.0	0.0	352.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
10	18.0	16.0	29.0	401.0	5.0	1690.0	7.0	2510.0	3.0	2.0	4.0	23.0	10.0	351.0	39.0	18.0	30.0	14.0	441.0	151.0	733.0	11.0	1857.0	1008.0	1703.0	5838.0	11.0	0.0	10439.0	9273.0	0.0	0.0	0.0	3.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
11	3.0	15393.0	2.0	15.0	15.0	2.0	0.0	477.0	1.0	23.0	0.0	2971.0	29.0	169.0	118.0	104.0	9.0	5.0	3.0	711.0	149.0	4.0	3.0	744.0	994.0	74.0	0.0	0.0	995.0	1042.0	0.0	26.0	0.0	1.0	k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Candidatus Xiphinematobacter; s__
12	101.0	31.0	66.0	78.0	41.0	128.0	3.0	1086.0	12055.0	84.0	789.0	852.0	88.0	74.0	58.0	1.0	172.0	24.0	5854.0	779.0	0.0	0.0	6.0	700.0	553.0	5.0	0.0	0.0	37.0	32.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
13	407.0	367.0	131.0	505.0	140.0	195.0	30.0	281.0	401.0	58.0	448.0	511.0	67.0	4.0	70.0	1826.0	49.0	527.0	289.0	31.0	2560.0	365.0	2238.0	815.0	1945.0	4881.0	3246.0	0.0	4496.0	4229.0	0.0	23.0	0.0	3.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__; s__
14	960.0	226.0	1031.0	2127.0	3.0	5.0	2.0	1508.0	255.0	3031.0	22.0	561.0	2904.0	4916.0	1769.0	35.0	439.0	105.0	1856.0	487.0	7.0	33.0	21.0	88.0	93.0	88.0	1.0	0.0	33.0	14.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
15	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6138.0	6057.0	0.0	0.0	0.0	2.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
16	1.0	0.0	0.0	10.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	3999.0	45.0	62.0	8500.0	0.0	0.0	28.0	34.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Thauera; s__
17	46.0	1316.0	31.0	1991.0	306.0	50.0	43.0	3103.0	105.0	45.0	169.0	207.0	417.0	532.0	402.0	11.0	1375.0	101.0	999.0	140.0	612.0	51.0	151.0	1.0	25.0	973.0	1.0	0.0	1068.0	927.0	0.0	0.0	0.0	1.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__
18	65.0	1.0	7.0	102.0	55.0	6.0	110.0	72.0	3.0	2.0	6.0	8.0	119.0	3.0	3.0	0.0	122.0	21.0	13.0	0.0	124.0	0.0	15.0	39.0	75.0	46.0	12.0	0.0	5370.0	4067.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae; g__; s__
19	149.0	38.0	3.0	443.0	93.0	0.0	0.0	158.0	7.0	0.0	1.0	8.0	239.0	0.0	5.0	0.0	231.0	0.0	10.0	40.0	1838.0	53.0	367.0	1956.0	3382.0	1194.0	7.0	0.0	62.0	69.0	0.0	0.0	0.0	0.0	Unassigned
20	89.0	1.0	37.0	225.0	6.0	135.0	9.0	347.0	28.0	104.0	9.0	17.0	32.0	12.0	138.0	3.0	119.0	19.0	112.0	2.0	88.0	3.0	937.0	1814.0	2961.0	2894.0	10.0	0.0	1230.0	1076.0	1.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Blastomonas; s__natatoria
21	584.0	29.0	55.0	101.0	45.0	14.0	13.0	122.0	216.0	13.0	126.0	20.0	61.0	32.0	9.0	232.0	25.0	479.0	78.0	2.0	544.0	72.0	1173.0	378.0	445.0	2939.0	934.0	0.0	325.0	332.0	0.0	0.0	0.0	0.0	k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium; s__
22	272.0	2994.0	32.0	48.0	15.0	0.0	6.0	5.0	5827.0	1.0	729.0	26.0	0.0	0.0	0.0	0.0	2.0	0.0	79.0	30.0	17.0	201.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
23	205.0	71.0	37.0	92.0	66.0	42.0	3.0	483.0	12.0	7.0	14.0	189.0	94.0	1.0	7.0	40.0	187.0	33.0	85.0	5.0	240.0	24.0	1407.0	1921.0	1308.0	2513.0	479.0	0.0	774.0	717.0	0.0	16.0	0.0	2.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__
24	2.0	0.0	0.0	0.0	0.0	0.0	1.0	41.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0	0.0	1.0	0.0	495.0	2189.0	3346.0	1268.0	0.0	0.0	24.0	35.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Perlucidibaca; s__
25	1.0	37.0	0.0	0.0	0.0	54.0	0.0	3304.0	0.0	6.0	0.0	7.0	0.0	0.0	0.0	52.0	332.0	61.0	123.0	0.0	1.0	10.0	0.0	1319.0	1973.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
26	157.0	123.0	18.0	64.0	361.0	101.0	19.0	162.0	227.0	22.0	134.0	47.0	28.0	3.0	12.0	565.0	47.0	244.0	167.0	2.0	4232.0	34.0	592.0	663.0	1271.0	2284.0	156.0	1.0	1123.0	1282.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__; s__
27	95.0	90.0	0.0	78.0	10.0	14.0	3.0	131.0	0.0	0.0	2.0	97.0	40.0	3.0	3.0	24.0	25.0	15.0	108.0	0.0	31.0	5.0	2410.0	1489.0	924.0	3694.0	41.0	0.0	372.0	395.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Paludibacter; s__
28	7.0	0.0	0.0	0.0	1.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	16.0	82.0	0.0	1150.0	1.0	0.0	5751.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
29	46.0	0.0	9.0	46.0	165.0	11.0	150.0	42.0	17.0	11.0	4.0	38.0	131.0	0.0	8.0	34.0	0.0	192.0	0.0	0.0	13.0	109.0	569.0	2533.0	2100.0	704.0	157.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	Unassigned
30	19.0	3.0	0.0	4.0	2.0	17.0	1.0	41.0	2.0	1.0	0.0	9.0	0.0	0.0	2.0	4.0	1.0	14.0	0.0	0.0	22.0	3.0	1214.0	1100.0	882.0	1765.0	4.0	0.0	739.0	841.0	0.0	17.0	0.0	1.0	k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__auto67_4W; g__; s__
31	5.0	9.0	11.0	80.0	24.0	29.0	1.0	1213.0	12.0	0.0	21.0	15.0	55.0	0.0	26.0	2.0	24.0	28.0	944.0	45.0	280.0	8.0	1655.0	34.0	724.0	4261.0	11.0	0.0	3448.0	3646.0	0.0	0.0	0.0	1.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rubrivivax; s__gelatinosus
32	8.0	5.0	0.0	20.0	0.0	26.0	0.0	86.0	0.0	1.0	2.0	3.0	6.0	8.0	0.0	46.0	6.0	6.0	68.0	2.0	127.0	1.0	883.0	1247.0	1915.0	2332.0	64.0	0.0	984.0	861.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__
33	0.0	3.0	1.0	4.0	1.0	11.0	0.0	74.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	1.0	32.0	0.0	5.0	3.0	422.0	2091.0	3087.0	2173.0	0.0	0.0	345.0	263.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
34	1.0	6.0	0.0	5.0	0.0	17.0	2.0	11.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	6.0	5.0	16.0	0.0	1433.0	387.0	588.0	3129.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Thiobacterales; f__Thiobacteraceae; g__; s__
35	22.0	1.0	6.0	2.0	11.0	1.0	5.0	0.0	564.0	0.0	4436.0	6.0	0.0	0.0	0.0	3.0	95.0	7.0	49.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	330.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__
36	14.0	0.0	0.0	6.0	0.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	749.0	528.0	1319.0	3470.0	0.0	0.0	2119.0	2029.0	0.0	0.0	0.0	1.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Telmatospirillum; s__
