# OTU table (subset) for 34 samples and 186 OTUs
OTU	N14	N8	N9	S1	S10	S11	S12	S13	S14	S15	S2	S3	S4	S5	S6	S7	S8	S9	T1	T10	T11	T12	T13	T14	T15	T16	T2	T3	T4	T5	T6	T7	T8	T9
0	78.0	0.0	0.0	0.0	46045.0	77675.0	8698.0	26273.0	42639.0	12937.0	11.0	16.0	22418.0	52280.0	62699.0	71000.0	31.0	65813.0	21476.0	1312.0	1045.0	62705.0	72663.0	42910.0	38334.0	1.0	47427.0	24622.0	23233.0	18370.0	469.0	809.0	65540.0	30583.0
1	12.0	59.0	0.0	0.0	38893.0	18249.0	2355.0	4274.0	21991.0	17036.0	233.0	121.0	38684.0	4110.0	73046.0	7318.0	113674.0	26078.0	1925.0	36.0	23.0	8413.0	16725.0	90627.0	29968.0	3.0	11956.0	11183.0	31675.0	7844.0	87.0	105.0	19368.0	82180.0
2	5.0	0.0	2.0	0.0	8163.0	16463.0	28602.0	114745.0	28519.0	39675.0	73.0	56.0	152.0	8172.0	440.0	1008.0	4.0	73.0	105172.0	815.0	445.0	34334.0	20710.0	1834.0	25502.0	7.0	33589.0	58849.0	65298.0	57371.0	300.0	688.0	3351.0	9263.0
3	15.0	0.0	0.0	0.0	3.0	61.0	1146.0	10439.0	1211.0	824.0	54.0	35.0	1.0	0.0	28.0	29629.0	16.0	4.0	5982.0	0.0	1.0	3380.0	1788.0	974.0	0.0	1.0	4649.0	4.0	1571.0	1394.0	258.0	50.0	1863.0	4.0
4	0.0	0.0	0.0	1.0	29841.0	4371.0	358.0	640.0	638.0	232.0	342.0	88.0	77.0	2014.0	636.0	864.0	17059.0	1162.0	105.0	28.0	1.0	10418.0	1112.0	688.0	855.0	1.0	56.0	2895.0	7221.0	2056.0	15.0	94.0	8105.0	19646.0
5	32.0	0.0	0.0	0.0	1456.0	6368.0	750.0	7096.0	714.0	149.0	52.0	46.0	9.0	999.0	29.0	22.0	9.0	9.0	23898.0	286.0	305.0	396.0	210.0	47.0	44.0	0.0	1416.0	7041.0	299.0	377.0	21.0	44.0	22.0	55.0
6	0.0	0.0	0.0	0.0	377.0	388.0	1808.0	1633.0	2211.0	347.0	945.0	1159.0	19.0	479.0	377.0	562.0	2.0	948.0	5074.0	552.0	89.0	1625.0	174.0	36.0	453.0	0.0	8455.0	1531.0	2365.0	33354.0	224.0	768.0	583.0	325.0
7	0.0	0.0	0.0	0.0	25.0	9.0	451.0	1537.0	531.0	678.0	1.0	1.0	0.0	0.0	48.0	8.0	4.0	45.0	102.0	0.0	2.0	377.0	166.0	32.0	19.0	0.0	22.0	891.0	17310.0	9890.0	2.0	5.0	312.0	23.0
8	0.0	0.0	0.0	4.0	1.0	0.0	319.0	6.0	14.0	1.0	8490.0	9336.0	158.0	46.0	28.0	3.0	0.0	26.0	25.0	1716.0	871.0	0.0	2.0	5.0	13.0	0.0	4229.0	242.0	3.0	14.0	62.0	227.0	38.0	257.0
9	0.0	0.0	0.0	0.0	9.0	51.0	2.0	1.0	564.0	56.0	1.0	2.0	0.0	0.0	13.0	0.0	352.0	0.0	0.0	0.0	0.0	165.0	27.0	1.0	0.0	0.0	0.0	145.0	22269.0	2581.0	4.0	0.0	0.0	0.0
10	0.0	0.0	0.0	3.0	11.0	29.0	151.0	23.0	39.0	2.0	10439.0	9273.0	733.0	16.0	18.0	5.0	11.0	1690.0	30.0	1703.0	1008.0	18.0	10.0	14.0	7.0	0.0	2510.0	441.0	4.0	3.0	1857.0	5838.0	351.0	401.0
11	0.0	26.0	0.0	1.0	4.0	2.0	711.0	2971.0	118.0	23.0	995.0	1042.0	149.0	15393.0	104.0	15.0	0.0	2.0	9.0	994.0	744.0	3.0	29.0	5.0	0.0	0.0	477.0	3.0	0.0	1.0	3.0	74.0	169.0	15.0
12	0.0	1.0	0.0	0.0	0.0	66.0	779.0	852.0	58.0	84.0	37.0	32.0	0.0	31.0	1.0	41.0	0.0	128.0	172.0	553.0	700.0	101.0	88.0	24.0	3.0	0.0	1086.0	5854.0	789.0	12055.0	6.0	5.0	74.0	78.0
13	0.0	23.0	0.0	3.0	365.0	131.0	31.0	511.0	70.0	58.0	4496.0	4229.0	2560.0	367.0	1826.0	140.0	3246.0	195.0	49.0	1945.0	815.0	407.0	67.0	527.0	30.0	0.0	281.0	289.0	448.0	401.0	2238.0	4881.0	4.0	505.0
14	0.0	0.0	0.0	0.0	33.0	1031.0	487.0	561.0	1769.0	3031.0	33.0	14.0	7.0	226.0	35.0	3.0	1.0	5.0	439.0	93.0	88.0	960.0	2904.0	105.0	2.0	0.0	1508.0	1856.0	22.0	255.0	21.0	88.0	4916.0	2127.0
15	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	6138.0	6057.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	34.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	45.0	1.0	0.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	3999.0	8500.0	0.0	10.0
