# OTU table (subset) for 34 samples and 186 OTUs (normalized abundances)
OTU	N14	N8	N9	S1	S10	S11	S12	S13	S14	S15	S2	S3	S4	S5	S6	S7	S8	S9	T1	T10	T11	T12	T13	T14	T15	T16	T2	T3	T4	T5	T6	T7	T8	T9
0	0.545454545455	0.0	0.0	0.0	0.363239772171	0.614658426379	0.181582847957	0.148602941176	0.413260707328	0.169142065215	0.000133062369962	0.000202298618048	0.274410918661	0.582838158731	0.436759430184	0.629706166686	0.00022166607079	0.58560827164	0.127546354037	0.0182760349919	0.0187514579483	0.484141200451	0.607443509083	0.304933946375	0.398776643885	0.0714285714286	0.348987115431	0.200411860944	0.127599861597	0.118668484054	0.00954649079954	0.00685971085768	0.612031451357	0.195328666684
1	0.0839160839161	0.240816326531	0.0	0.0	0.306819078273	0.144408131612	0.0491639005449	0.0241742081448	0.213138587088	0.222733572157	0.00281850292737	0.00152988329898	0.473517351123	0.0458199088061	0.508836334506	0.0649040806733	0.812828030032	0.232043707289	0.0114326099609	0.0005014765699	0.000412711514651	0.0649562223011	0.139816587389	0.644028169615	0.31174775562	0.214285714286	0.0879771006409	0.0910245244471	0.17396486102	0.05067150729	0.00177088422081	0.000890320939501	0.180863978485	0.524870347189
2	0.034965034965	0.0	0.666666666667	0.0	0.0643962701756	0.13027514224	0.597106532223	0.649010180995	0.276408501895	0.518722380566	0.000883050273383	0.000708045163166	0.0018605789828	0.0911046945897	0.00306502734144	0.00894005374675	2.86020736503e-05	0.000649558656036	0.624618418083	0.0113528723464	0.00798507060956	0.265090566562	0.173130136013	0.0130330658973	0.265289350768	0.5	0.247161494934	0.479004045354	0.358628492341	0.370611300961	0.00610649731314	0.00583372196549	0.0312926059429	0.0591612804333
3	0.104895104895	0.0	0.0	0.0	2.36663984475e-05	0.000482705684057	0.0239243439594	0.0590441176471	0.0117371119532	0.0107732133985	0.000653215270721	0.000442528226979	1.22406512026e-05	0.0	0.000195047194455	0.262782591729	0.000114408294601	3.55922551253e-05	0.0355272066422	0.0	1.79439788979e-05	0.0260967587517	0.0149472082661	0.00692159552015	0.0	0.0714285714286	0.0342092289126	3.25581773932e-05	0.00862821773206	0.00900510978611	0.0052515876893	0.000423962352143	0.0173972321312	2.5547352017e-05
4	0.0	0.0	0.0	0.025641025641	0.235409665357	0.0345886318855	0.00747374793846	0.00361990950226	0.0061835486591	0.00303323484036	0.0041370300479	0.00111264239926	0.000942530142604	0.0224528701546	0.00443035770262	0.0076629032115	0.1219806936	0.0103395501139	0.000623596906959	0.000390037332145	1.79439788979e-05	0.0804366960577	0.0092960266174	0.00488917630171	0.00889429828668	0.0714285714286	0.000412070728997	0.0235639808883	0.0396590453489	0.0132815679485	0.000305324865657	0.000797049222029	0.0756868311451	0.125475819431
5	0.223776223776	0.0	0.0	0.0	0.0114860920465	0.0503913081324	0.0156572931672	0.0401357466063	0.00692014693197	0.00194806892765	0.000629022112547	0.000581608526887	0.000110165860824	0.0111372479069	0.000202013165686	0.000195120220663	6.43546657133e-05	8.00825740319e-05	0.141930656024	0.00398395274976	0.00547291356385	0.0030574900786	0.00175554459501	0.000333998962471	0.000457718274402	0.0	0.0104195027189	0.0573105317564	0.00164216238185	0.00243538478434	0.00042745481192	0.000373086869886	0.000205442354743	0.000351276090233
6	0.0	0.0	0.0	0.0	0.0029740774049	0.00307032467892	0.0377445147283	0.00923642533937	0.021429194491	0.00453677797244	0.0114312672376	0.0146540061448	0.00023257237285	0.00534008182923	0.00262617115391	0.00498443472785	1.43010368252e-05	0.00843536446469	0.0301345781515	0.00768930740514	0.00159701412191	0.0125465186306	0.00145459409301	0.000255828992531	0.00471241768873	0.0	0.0622153216727	0.0124616423973	0.0129890101441	0.215463724395	0.00455951799381	0.00651206172892	0.00544422240069	0.00207572235138
7	0.0	0.0	0.0	0.0	0.000197219987062	7.12188714183e-05	0.00941525229118	0.00869343891403	0.00514649582756	0.0088643673352	1.20965790874e-05	1.2643663628e-05	0.0	0.0	0.000334366619066	7.09528075139e-05	2.86020736503e-05	0.000400412870159	0.000605779852475	0.0	3.58879577958e-05	0.0029107923223	0.00138771620368	0.000227403548917	0.000197651073037	0.0	0.000161884929249	0.00725233401434	0.0950696683271	0.0638884761726	4.07099820876e-05	4.23962352143e-05	0.00291354612181	0.000146897274098
8	0.0	0.0	0.0	0.102564102564	7.88879948249e-06	0.0	0.00665956869376	3.39366515837e-05	0.000135689155529	1.3074288105e-05	0.102699956452	0.118041243631	0.00193402289002	0.000512826229947	0.000195047194455	2.66073028177e-05	0.0	0.000231349658314	0.000148475454038	0.0239037164986	0.0156292056201	0.0	1.67194723335e-05	3.55318045182e-05	0.00013523494471	0.0	0.0311186984452	0.00196976973229	1.64765456373e-05	9.04386922565e-05	0.00126200944472	0.00192478907873	0.000354854976374	0.00164141736709
9	0.0	0.0	0.0	0.0	7.09991953425e-05	0.000403573604704	4.17527817791e-05	5.65610859729e-06	0.00546633455131	0.000732160133881	1.20965790874e-05	2.52873272559e-05	0.0	0.0	9.0557625997e-05	0.0	0.00251698248123	0.0	0.0	0.0	0.0	0.00127395419942	0.000225712876502	7.10636090364e-06	0.0	0.0	0.0	0.0011802339305	0.122305398266	0.0166730189081	8.14199641752e-05	0.0	0.0	0.0
10	0.0	0.0	0.0	0.0769230769231	8.67767943074e-05	0.000229483030126	0.00315233502432	0.000130090497738	0.000377991218973	2.614857621e-05	0.126276189094	0.117244692822	0.00897239733154	0.000178374340851	0.00012538748215	4.43455046962e-05	7.86557025384e-05	0.0150377277904	0.000178170544846	0.0237226277372	0.0180875307291	0.000138976821755	8.35973616673e-05	9.9489052651e-05	7.28188163822e-05	0.0	0.0184695987461	0.0035895390576	2.19687275164e-05	1.93797197693e-05	0.0377992183683	0.0495018442362	0.00327773938703	0.0025611220397
