	T12	S5	S11	T9	S7	S9	T15	T2	T5	S15	T4	S13	T13	T8	S14	S6	T1	T14	T3	S12	S4	S10	T6	T11	T10	T7	S8	N14	S2	S3	T16	N8	N9	S1
T12	114	68	72	103	82	80	61	101	75	68	72	86	88	58	70	83	82	88	90	66	93	80	106	108	102	109	83	6	107	108	6	18	2	17
S5	68	88	63	81	72	69	51	83	65	57	66	75	68	50	60	72	69	70	73	57	79	68	80	85	83	82	66	5	84	86	5	18	2	17
S11	72	63	86	82	73	65	53	80	69	61	69	76	73	54	64	74	68	72	73	54	74	75	79	78	76	80	71	6	82	83	6	15	2	14
T9	103	81	82	144	94	104	69	127	86	77	84	105	100	69	81	96	94	101	108	79	114	90	133	131	127	139	92	6	136	136	6	20	2	23
S7	82	72	73	94	107	81	60	96	73	66	72	83	85	57	71	82	81	82	88	62	93	80	100	101	94	102	81	6	103	104	6	17	2	19
S9	80	69	65	104	81	118	58	104	67	66	70	82	82	56	68	76	82	83	91	65	97	76	107	108	107	110	79	6	109	112	6	20	2	21
T15	61	51	53	69	60	58	73	67	52	56	55	57	62	51	57	55	64	64	65	46	59	57	65	69	66	67	55	5	66	69	5	13	1	15
T2	101	83	80	127	96	104	67	148	82	77	84	106	98	68	79	93	98	98	107	81	120	89	132	138	136	140	93	6	138	140	6	22	2	21
T5	75	65	69	86	73	67	52	82	92	65	78	79	77	50	66	75	69	71	72	58	75	76	80	81	80	84	71	6	88	88	6	14	2	16
S15	68	57	61	77	66	66	56	77	65	85	63	70	73	49	64	68	69	71	72	50	70	65	74	78	76	78	65	6	79	83	6	16	1	14
T4	72	66	69	84	72	70	55	84	78	63	95	80	74	57	67	76	67	73	76	59	75	75	82	81	81	88	75	6	90	90	6	15	2	15
S13	86	75	76	105	83	82	57	106	79	70	80	121	88	61	76	91	83	85	89	75	97	83	108	107	102	113	83	6	113	114	6	20	2	19
T13	88	68	73	100	85	82	62	98	77	73	74	88	109	63	75	84	83	85	92	69	91	81	100	103	102	103	84	6	105	107	6	17	2	17
T8	58	50	54	69	57	56	51	68	50	49	57	61	63	74	52	62	59	64	66	49	62	58	68	68	65	70	57	6	66	69	6	15	1	12
S14	70	60	64	81	71	68	57	79	66	64	67	76	75	52	87	68	67	68	75	58	73	69	82	81	78	83	71	6	82	83	6	15	2	16
S6	83	72	74	96	82	76	55	93	75	68	76	91	84	62	68	105	75	84	82	64	89	82	94	96	95	97	84	6	100	101	6	17	2	18
T1	82	69	68	94	81	82	64	98	69	69	67	83	83	59	67	75	106	81	84	61	87	77	96	102	97	100	76	6	101	102	6	20	2	19
T14	88	70	72	101	82	83	64	98	71	71	73	85	85	64	68	84	81	109	92	61	95	80	99	102	99	103	80	6	104	106	6	17	1	19
T3	90	73	73	108	88	91	65	107	72	72	76	89	92	66	75	82	84	92	121	70	99	81	110	112	109	115	83	6	115	117	6	18	2	20
S12	66	57	54	79	62	65	46	81	58	50	59	75	69	49	58	64	61	61	70	86	71	59	80	81	75	82	60	6	82	82	6	16	2	16
S4	93	79	74	114	93	97	59	120	75	70	75	97	91	62	73	89	87	95	99	71	132	85	123	126	123	127	91	6	125	128	6	21	2	20
S10	80	68	75	90	80	76	57	89	76	65	75	83	81	58	69	82	77	80	81	59	85	100	88	90	88	91	74	6	93	95	6	17	2	16
T6	106	80	79	133	100	107	65	132	80	74	82	108	100	68	82	94	96	99	110	80	123	88	161	146	140	159	96	6	148	150	6	22	2	23
T11	108	85	78	131	101	108	69	138	81	78	81	107	103	68	81	96	102	102	112	81	126	90	146	162	152	151	97	6	152	158	6	22	2	22
T10	102	83	76	127	94	107	66	136	80	76	81	102	102	65	78	95	97	99	109	75	123	88	140	152	157	147	95	5	147	152	5	22	2	21
T7	109	82	80	139	102	110	67	140	84	78	88	113	103	70	83	97	100	103	115	82	127	91	159	151	147	169	98	6	155	158	6	22	2	24
S8	83	66	71	92	81	79	55	93	71	65	75	83	84	57	71	84	76	80	83	60	91	74	96	97	95	98	105	6	102	102	6	16	2	16
N14	6	5	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	4	1	1	0
S2	107	84	82	136	103	109	66	138	88	79	90	113	105	66	82	100	101	104	115	82	125	93	148	152	147	155	102	6	165	162	6	22	2	24
S3	108	86	83	136	104	112	69	140	88	83	90	114	107	69	83	101	102	106	117	82	128	95	150	158	152	158	102	6	162	169	6	22	2	24
T16	6	5	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	4	6	6	6	1	1	1
N8	18	18	15	20	17	20	13	22	14	16	15	20	17	15	15	17	20	17	18	16	21	17	22	22	22	22	16	1	22	22	1	22	0	8
N9	2	2	2	2	2	2	1	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	1	0	2	0
S1	17	17	14	23	19	21	15	21	16	14	15	19	17	12	16	18	19	19	20	16	20	16	23	22	21	24	16	0	24	24	1	8	0	24
