,T12,S5,S11,T9,S7,S9,T15,T2,T5,S15,T4,S13,T13,T8,S14,S6,T1,T14,T3,S12,S4,S10,T6,T11,T10,T7,S8
T12,0,0.1225568332,0.0412048244,0.2341677628,0.1038643917,0.1190989411,0.0766540445,0.0980055908,0.1188905159,0.060984787,0.1143007464,0.0788684498,0.0368254419,0.0682530353,0.0480807478,0.1685061028,0.0943362585,0.2206014713,0.0765260579,0.0798269152,0.2367123456,0.1736499668,0.4754687612,0.4841252206,0.4600759235,0.4739799398,0.3463218071
S5,0.1225568332,0,0.1162329389,0.2902954524,0.1453345287,0.1624208931,0.1346656047,0.1289457111,0.1407027751,0.1367603993,0.1819410437,0.1345006847,0.1176383762,0.1238691876,0.1220396111,0.2197580725,0.1521596575,0.2742001121,0.1335667997,0.1351533232,0.2831006582,0.2269846207,0.4313055085,0.4253124585,0.4012968168,0.4406877817,0.4131458637
S11,0.0412048244,0.1162329389,0,0.2372420523,0.1010887248,0.1122308962,0.0698764928,0.111222572,0.1289241851,0.0588264684,0.120201354,0.0829985379,0.0271453871,0.0609147119,0.0460690616,0.1618021169,0.0901796786,0.2149955316,0.0669019855,0.0840112831,0.2406964138,0.1650263737,0.4892313534,0.4935516082,0.4701888349,0.4869170992,0.354440889
T9,0.2341677628,0.2902954524,0.2372420523,0,0.2277798743,0.2180868552,0.1843355443,0.2715696851,0.2834199167,0.2175785527,0.1675426778,0.2911514145,0.2417581391,0.1905548609,0.2123413463,0.0913666332,0.3035083408,0.0456887609,0.2567991444,0.283685516,0.0954428137,0.0905634843,0.4599355,0.4642949282,0.447467589,0.4587245982,0.141671356
S7,0.1038643917,0.1453345287,0.1010887248,0.2277798743,0,0.1166751445,0.0765734459,0.1450809651,0.1716372243,0.1018219894,0.1134356499,0.1417832002,0.0988034336,0.0711174534,0.0890131359,0.1439751571,0.1588855955,0.1959689383,0.1405250043,0.1447133802,0.2226938616,0.1597639286,0.4823286835,0.4940237132,0.4718324457,0.4811803171,0.3417363168
S9,0.1190989411,0.1624208931,0.1122308962,0.2180868552,0.1166751445,0,0.0906417345,0.1342914572,0.1655756179,0.1042565193,0.122562379,0.1739172314,0.1168750897,0.0823867935,0.0918827913,0.1499987793,0.1879784095,0.2065403227,0.1355008956,0.1649360755,0.192240875,0.1677506097,0.4483176158,0.4541684934,0.4308620738,0.4445454001,0.3384736709
T15,0.0766540445,0.1346656047,0.0698764928,0.1843355443,0.0765734459,0.0906417345,0,0.1289779831,0.1485947999,0.0473187932,0.0676043505,0.1280852276,0.0744761133,0.0448577296,0.0372767573,0.1046479533,0.1377589359,0.1563256777,0.1069654478,0.1218063321,0.1827877266,0.1143427695,0.4841004332,0.4910561306,0.4693058438,0.482112663,0.3001701371
T2,0.0980055908,0.1289457111,0.111222572,0.2715696851,0.1450809651,0.1342914572,0.1289779831,0,0.0934733983,0.1153329469,0.1594351189,0.122497403,0.1033705226,0.1239690243,0.1015846015,0.2097449622,0.1362889749,0.2599037813,0.0879829625,0.1117521849,0.2528912434,0.2190070665,0.4098595873,0.4174326999,0.3911537126,0.405385208,0.402162286
T5,0.1188905159,0.1407027751,0.1289241851,0.2834199167,0.1716372243,0.1655756179,0.1485947999,0.0934733983,0,0.123345486,0.1366790605,0.1106123459,0.1181536775,0.1506026497,0.1253719143,0.2194425542,0.13088369,0.2661063433,0.0875201451,0.1003587775,0.2801645862,0.2264737045,0.4377007271,0.4491897829,0.4235561528,0.4352622407,0.4005067194
S15,0.060984787,0.1367603993,0.0588264684,0.2175785527,0.1018219894,0.1042565193,0.0473187932,0.1153329469,0.123345486,0,0.0867416111,0.0873405523,0.0579257846,0.0543187454,0.0192994192,0.147681027,0.1010346,0.1946571599,0.073457111,0.0822679557,0.2206356005,0.1566214379,0.4830141244,0.4902222083,0.4665677724,0.4813779358,0.3352457782
