Day	brom10	brom48	brom17	brom9	brom18	brom32	brom20	brom31	brom36	brom15	brom24	brom46	brom3	brom23	brom12	brom51	brom40	brom1	brom52	brom16	brom44	brom38	brom27	brom13	brom45	brom6	brom28	brom22	brom26	brom49	brom14	brom29	brom30	brom39	brom8	brom33	brom41	brom47	brom42	brom4
day.1	3.62	9.36	8.81	12.52	8.89	11.88	9.81	10.88	10.77	9.76	7.1	10.49	10.84	12.41	13.53	10.85	7.13	7.33	12.7	12.32	10.5	11.96	13.73	10.96	12.56	5.42	13.79	11.73	10.43	10.64	12.83	11.15	13.55	13.28	9.68	9.5	11.63	8.18	8.73	11.82
day.2	7.47	10.06	9.88	12.04	8.6	10.74	8.05	10.3	10.55	10.18	9.53	10.41	10.11	12.17	13.03	10.69	7.73	7.64	7.91	11.91	9.23	10.52	12.83	9.74	11.55	2.21	12.1	9.07	7.8	10.22	10.48	8.49	11.91	11.82	8.73	7.7	11.32	13.23	6.64	9
day.3	10.41	9.98	11.23	12.7	9.45	12.1	11.57	6.73	12.56	11.73	9.5	11.32	13.63	12.64	14.15	11.79	9.8	12.44	12.09	12.49	12.47	12.8	14.3	10.93	11.28	3.23	7.56	9.32	8.42	11.07	15.16	8.93	14.83	13.74	10.56	11.46	9	13.82	11.64	9.74
day.4	13.23	13.06	11.55	13.09	8.96	12.58	10.32	12.05	11.23	10.7	10.06	11.66	12.14	11.84	8.94	11.66	6.37	1.32	11.82	10.83	10	9.81	8.41	10.91	11.15	7.32	11.14	11.96	9.05	10	11.74	8.55	13.64	12.42	10.56	10.56	9.41	13.15	9.42	9.91
day.5	8.14	10.3	10.57	11.7	7.88	12.14	10.85	5.87	6.63	7.91	6.65	9.49	11.23	11.01	10.61	10.12	6.64	1.82	11.42	11.24	10.07	9.82	12.15	10.46	11	6.33	11.33	11.42	8.74	9.14	11.64	6.32	14.31	8.41	9.74	8.32	10.91	12.55	8.15	9.32
day.6	5.18	9.2	9.82	11.82	7.78	11.14	10.14	9.82	10.24	10.15	7.47	10.33	9.15	10.74	10.42	9.41	6.91	1.63	12	9.82	9.82	6.55	12.23	10.55	11	6.23	11.14	10.82	8.82	9.55	11.55	6.33	14.5	8.2	8.12	7.71	9.2	11.9	10.9	9.56
day.7	4.55	8.16	10.64	11.55	8.91	8.82	9.25	10.33	8.15	9.23	8.64	9.99	8.64	9.32	10.64	9.24	5.23	1.14	10.82	10.91	8.82	8.64	11.14	10.23	10.46	10.66	10.3	8.43	8.43	8.9	9.5	3.35	13.85	7.88	8.91	6.85	7.42	11.9	9.32	8.63
day.8	4.73	7.74	9.74	10.55	7.91	8.32	9.91	9.82	9.74	9.56	8.64	9.15	10.32	10.23	9.64	8.14	5.41	1.1	7.42	9.46	7.45	8.31	11.27	10.32	8.83	2.91	12.02	9.67	8.83	7.68	11.1	3.05	13.95	8.34	8.55	7.45	5.93	11.64	8.59	7.81
day.9	6.42	7.74	10.32	11.15	7.82	9.56	9.74	9.73	9.44	8.1	8.4	8.55	8	10.7	8.21	9.43	5.78	1.1	7.36	9.41	7.61	8.3	11.32	10.06	8.96	2.41	11.61	8.91	8.45	8.81	9.34	6.61	13.64	9.15	7.15	7.5	7.15	9.64	8.5	9
day.10	3.92	7.32	7.51	10.69	7.15	9.23	9.45	8.72	8.63	7.77	7.42	7.7	7.63	10.21	9.51	8.41	5.26	0.7	7.4	9.54	7.21	8.11	8.53	9.97	9.14	4.64	9.55	9.23	8.15	8.81	9.32	5.91	11.14	8.74	8.12	7.53	7.53	10.71	8.41	8.44
day.11	4.61	6.5	8.76	8.91	7.51	8.88	8.81	8.71	8.35	8.32	7.12	7.71	8.12	9.51	9.22	8.98	5.15	1.4	9.55	9.14	7.73	5.33	8.41	9.55	9.11	3.7	9.51	8.52	7.12	7.06	9.21	6.31	11.92	9.31	7.39	6.28	6.63	10.37	8.2	7.51
day.12	6.3	6.02	9.45	6.99	7.27	8.44	9.51	8.21	8.73	8.24	7.91	8.15	7.32	7.23	8.33	7.24	5.1	0.8	8.36	9.25	8.23	5.51	8.53	9.67	8.31	3.92	9.74	7.92	8.12	7.44	8.83	6.53	12.12	8.41	7.31	6.31	6.12	10.45	8.42	6.61
day.13	6.73	5.91	8.73	6.74	7	9.05	8.32	8.15	8.77	7.98	6.71	8.41	9.15	7.38	8.35	7.65	5.01	Seco	8.42	9.47	8.38	4.72	8.75	8.81	7.8	2.81	9.23	8.54	7.6	6.78	8.68	6.41	11.78	8.12	7.66	7.14	6.12	8.73	8	7.99
day.14	5.48	5.94	8.05	11.92	7.3	9.21	8.21	11.15	8.51	7.73	6.91	10.01	9.01	8.72	7.42	10.79	4.81	Seco	9.09	11.71	7.23	5.53	8.91	11.03	8.87	2.12	9.12	12.2	7.68	7.5	8.26	9.1	6.04	7.7	7.66	9.8	6.34	9.61	8.1	9.41
day.15	3.61	5.27	8.3	10.41	6.54	8.26	7.21	9.64	8.1	8.21	6.64	9.05	7.85	7.01	7.65	10.25	5.04	Seco	9.51	11.61	7.85	5.93	9.98	10.1	8.91	1.51	9.61	11.5	7.91	7.03	8.93	6.51	5.57	8.21	7.25	9.52	7.41	9.99	7.71	7.1
day.16	5.51	4.7	6.81	9.41	6.64	8.12	7.65	9.64	8.5	7.91	7.71	10.91	8.31	6.74	7.97	10.15	7.68	Seco	9.54	9.87	8.41	6.71	8.55	11.21	8.18	1.5	9.61	11	7.41	6.9	6.2	7.05	5.6	2.6	7.34	9.2	7.91	7.51	8.46	7.5
day.17	5.47	6.61	11.41	10.92	7.41	8.16	11.92	9.93	7.86	10.12	10.27	11.16	10.31	7.36	14.19	12.13	7.41	6.81	14.41	12.1	7.12	8.31	12.61	11.31	8.45	8.6	15.05	12.3	6.55	9.12	12.31	9.51	0.4	1.61	11.57	11.44	6.41	11.67	10.45	10.4
day.18	5.05	6.91	11.31	9.44	5.21	9.44	10.54	11.32	8.14	8.05	8.91	9.53	10.12	7.71	12.41	10.83	8.04	6.24	11.91	11.81	7.56	7.38	12.8	10.77	8.21	8.46	13.1	10.41	6.35	9.22	11.05	6.84	0.6	0	9.15	10.95	6.45	10.57	10.71	9.21
day.19	8.32	9.1	13.45	11.41	5.61	8.43	11.61	10.05	9.32	9.41	10.81	12.21	10.05	9.9	14.58	12.26	10.45	7.12	14.51	12.51	8.92	10.31	13.74	9.95	10.12	12.71	14.51	12.46	7.91	9.6	11.71	9.76	0	0.8	10.12	12.1	8.86	8.74	11.32	10.56
