Bromelia,Cenario,Replica,Bloco,Coleta,BR (ug C L h),BP (ug C L h),Dias sem rega
10,Mu0.1K0.5,1,1,1,0.27547,0.03494,3
10,Mu0.1K0.5,2,1,1,0.28658,0.03951,3
10,Mu0.1K0.5,3,1,1,0.29153,0.0164,3
18,Mu0.1K0.5,1,1,1,0.30079,0.02721,3
36,Mu0.1K0.5,1,2,1,0.20842,0.04058,3
36,Mu0.1K0.5,2,2,1,0.21983,0.02085,3
36,Mu0.1K0.5,3,2,1,0.21569,0.02969,3
3,Mu0.1K0.5,1,2,1,0.32668,0.03902,3
3,Mu0.1K0.5,2,2,1,0.33954,0.03432,3
3,Mu0.1K0.5,3,2,1,0.34029,0.04652,3
44,Mu0.1K0.5,1,3,1,0.33947,0.03058,3
44,Mu0.1K0.5,2,3,1,0.33237,0.03089,3
44,Mu0.1K0.5,3,3,1,0.33367,0.04122,3
40,Mu0.1K0.5,1,3,1,0.3279,0.03939,3
40,Mu0.1K0.5,2,3,1,0.33511,0.05008,3
40,Mu0.1K0.5,3,3,1,0.33573,0.04007,3
26,Mu0.1K0.5,1,4,1,0.34078,0.05016,3
26,Mu0.1K0.5,2,4,1,0.33869,0.05154,3
26,Mu0.1K0.5,3,4,1,0.33492,0.04286,3
45,Mu0.1K0.5,1,4,1,0.29844,0.03744,3
45,Mu0.1K0.5,2,4,1,0.34534,0.02633,3
45,Mu0.1K0.5,3,4,1,0.33905,0.03871,3
41,Mu0.1K0.5,1,5,1,0.32566,0.02093,3
41,Mu0.1K0.5,2,5,1,0.32204,0.0332,3
10,Mu0.1K0.5,1,1,2,0.30052,0.02329,0
10,Mu0.1K0.5,2,1,2,0.30415,0.02352,0
10,Mu0.1K0.5,3,1,2,0.29983,0.01357,0
3,Mu0.1K0.5,1,2,2,0.28379,0.0509,0
3,Mu0.1K0.5,2,2,2,0.30268,0.04449,0
3,Mu0.1K0.5,3,2,2,0.24048,0.04199,0
36,Mu0.1K0.5,1,2,2,0.21511,0.05166,0
36,Mu0.1K0.5,2,2,2,0.19384,0.04029,0
36,Mu0.1K0.5,3,2,2,0.19238,0.034,0
40,Mu0.1K0.5,1,3,2,0.29051,0.04125,0
40,Mu0.1K0.5,2,3,2,0.31233,0.03931,0
40,Mu0.1K0.5,3,3,2,0.28172,0.03339,0
44,Mu0.1K0.5,1,3,2,0.30344,0.02418,0
44,Mu0.1K0.5,2,3,2,0.3039,0.04261,0
44,Mu0.1K0.5,3,3,2,0.31374,0.03408,0
26,Mu0.1K0.5,1,4,2,0.25072,0.04355,0
26,Mu0.1K0.5,2,4,2,0.24111,0.03055,0
26,Mu0.1K0.5,3,4,2,0.30364,0.04479,0
45,Mu0.1K0.5,1,4,2,0.13317,0.03845,0
45,Mu0.1K0.5,2,4,2,0.11738,0.04376,0
45,Mu0.1K0.5,3,4,2,0.16893,0.04005,0
41,Mu0.1K0.5,1,5,2,0.27121,0.02776,0
41,Mu0.1K0.5,2,5,2,0.23006,0.04373,0
41,Mu0.1K0.5,3,5,2,0.26882,0.03033,0
10,Mu0.1K0.5,1,1,3,0.29337,0.03919,7
10,Mu0.1K0.5,2,1,3,0.25393,0.04482,7
10,Mu0.1K0.5,3,1,3,0.29717,0.02303,7
3,Mu0.1K0.5,1,2,3,0.09929,0.01615,7
3,Mu0.1K0.5,2,2,3,0.15328,0.03338,7
3,Mu0.1K0.5,3,2,3,0.13482,0.03236,7
36,Mu0.1K0.5,1,2,3,0.09081,0.0319,7
36,Mu0.1K0.5,2,2,3,0.18972,0.02723,7
36,Mu0.1K0.5,3,2,3,0.20116,0.02131,7
40,Mu0.1K0.5,1,3,3,0.26139,0.02165,7
44,Mu0.1K0.5,1,3,3,0.14372,0.04244,7
44,Mu0.1K0.5,2,3,3,0.21757,0.04213,7
44,Mu0.1K0.5,3,3,3,0.24264,0.02936,7
26,Mu0.1K0.5,1,4,3,0.1855,0.02821,7
26,Mu0.1K0.5,2,4,3,0.19291,0.04739,7
26,Mu0.1K0.5,3,4,3,0.20774,0.02955,7
45,Mu0.1K0.5,1,4,3,0.17867,0.02212,7
45,Mu0.1K0.5,2,4,3,0.12447,0.02977,7
45,Mu0.1K0.5,3,4,3,0.14355,0.01366,7
41,Mu0.1K0.5,1,5,3,0.26734,0.02169,7
41,Mu0.1K0.5,2,5,3,0.28116,0.02538,7
41,Mu0.1K0.5,3,5,3,0.2917,0.04398,7
3,Mu0.1K0.5,1,2,4,0.11995,0.04834,15
3,Mu0.1K0.5,2,2,4,0.12053,0.04199,15
3,Mu0.1K0.5,3,2,4,0.13213,0.04578,15
36,Mu0.1K0.5,1,2,4,0.15988,0.01104,15
36,Mu0.1K0.5,2,2,4,0.18885,0.04342,15
36,Mu0.1K0.5,3,2,4,0.16927,0.01425,15
40,Mu0.1K0.5,1,3,4,0.27965,0.01368,15
44,Mu0.1K0.5,1,3,4,0.28021,0.02516,15
44,Mu0.1K0.5,2,3,4,0.26633,0.04605,15
44,Mu0.1K0.5,3,3,4,0.25775,0.04218,15
26,Mu0.1K0.5,1,4,4,0.32283,0.02708,15
45,Mu0.1K0.5,1,4,4,0.17054,0.0372,15
45,Mu0.1K0.5,2,4,4,0.16449,0.04813,15
41,Mu0.1K0.5,1,5,4,0.32733,0.03493,15
3,Mu0.1K0.5,1,2,5,0.12416,0.01066,20
3,Mu0.1K0.5,2,2,5,0.03124,0.04235,20
3,Mu0.1K0.5,3,2,5,0.02903,0.04461,20
36,Mu0.1K0.5,1,2,5,0.11529,0.04549,20
36,Mu0.1K0.5,2,2,5,0.08333,0.03117,20
36,Mu0.1K0.5,3,2,5,0.11365,0.01129,20
40,Mu0.1K0.5,1,3,5,0.25977,0.01232,20
44,Mu0.1K0.5,1,3,5,0.24912,0.02028,20
44,Mu0.1K0.5,2,3,5,0.18028,0.01513,20
44,Mu0.1K0.5,3,3,5,0.18209,0.01462,20
45,Mu0.1K0.5,1,4,5,0.17871,0.02466,20
45,Mu0.1K0.5,2,4,5,0.17449,0.02643,20
45,Mu0.1K0.5,3,4,5,0.12083,0.0189,20
48,Mu0.1K1,1,1,1,0.26634,0.01219,3
48,Mu0.1K1,2,1,1,0.27043,0.00984,3
48,Mu0.1K1,3,1,1,0.29858,0.00866,3
32,Mu0.1K1,1,1,1,0.31246,0.01049,3
32,Mu0.1K1,2,1,1,0.30719,0.00575,3
32,Mu0.1K1,3,1,1,0.315,0.01097,3
23,Mu0.1K1,1,2,1,0.31944,0.00463,3
23,Mu0.1K1,2,2,1,0.3252,0.0095,3
23,Mu0.1K1,3,2,1,0.33309,0.00816,3
15,Mu0.1K1,1,2,1,0.18279,0.01359,3
15,Mu0.1K1,2,2,1,0.15039,0.00956,3
15,Mu0.1K1,3,2,1,0.15364,0.01041,3
38,Mu0.1K1,1,3,1,0.22402,0.01111,3
38,Mu0.1K1,2,3,1,0.30225,0.00873,3
38,Mu0.1K1,3,3,1,0.26936,0.00844,3
6,Mu0.1K1,1,4,1,0.31462,0.00552,3
